#	Type	Software name	Short description	Subject area	Method	latest Version	Website link	Repository link	participates in contacting process	License	Runtime environment	Documentation link	Related software	Programming language	Associated project	Associated organization	Related publication
ID	TYPE	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000211	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000216 SPLIT=,	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/IAO_0000235	I http://purl.obolibrary.org/obo/BFO_0000056	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000142	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000204 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000204	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000226 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000187 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000194 SPLIT=,	I https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000240	I http://purl.obolibrary.org/obo/IAO_0000235
https://purls.helmholtz-metadaten.de/msekg/17451592331711	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000121	Calphy	Python library and command line tool for calculation of free energies	Data Driven Material Science	molecular dynamics, atomistic simulations	1.1.4	url 58	url 194	ContactingProcess 1	ASL/ BSD-3	Linux,OSX	url 58	LAMMPS, pylammpsmpi, Pyscal, Mendeleev	python	NFDI-MatWerk project, https://gepris.dfg.de/gepris/projekt/405621217?context=projekt&task=showDetail&id=405621217&	Max Planck Institute for Iron Research	Automated free-energy calculation from atomistic simulations
https://purls.helmholtz-metadaten.de/msekg/17451592331712	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	Melting temperature computational workflow	A repository illustrating the calculation of melting temperature through atomistic simulations using pyiron and calphy	MaterialsDeformation Processes	molecular dynamics, atomistic simulations			url 195	ContactingProcess 2			url 317			NFDI-MatWerk project	Max Planck Institute for Iron Research	
https://purls.helmholtz-metadaten.de/msekg/17451592331713	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	Pyscal	Python library written in C++ for calculation of local atomic structural environment	Computational Materials Science	molecular dynamics, atomistic simulations	2.10.15	url 59	url 196	ContactingProcess 3	BSD-3	Linux,OSX,Windows	url 59	ASE, h5py, pybind11,LAMMPS	python, C++			pyscal: A python module for structural analysis of atomic environments.
https://purls.helmholtz-metadaten.de/msekg/17451592331714	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000218	EQ2PC	A python script to implement the generation of discrete periodic structures with identical 2-point correlation.	Materials Characterization				url 197	ContactingProcess 4			url 319		python			On the generation of periodic discrete structures with identical two-point correlation
https://purls.helmholtz-metadaten.de/msekg/17451592331715	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001044	MinimumEnergyPoints	An algorithm implementing the minimum energy without nonlinear constraints. Distributes points on hyperspheres such that user-defined energy is minimized.	Materials Characterization				url 198	ContactingProcess 5	BSD 3-Clause License				MATLAB	DFG-FR2702/8, DFG-FR2702/6, EXC 310/2		Generation of energy-minimizing point sets on spheres and their application in mesh-free interpolation and differentiation
https://purls.helmholtz-metadaten.de/msekg/17451592331716	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	ConcentricInterpolation	Interpolate and differentiate data in arbitrary dimensions efficiently in a concentric manner.	Materials Processing				url 199	ContactingProcess 6	BSD-3-Clause license				C++	SimTech EXC 2075		Generation of energy-minimizing point sets on spheres and their application in mesh-free interpolation and differentiation
https://purls.helmholtz-metadaten.de/msekg/17451592331717	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	Image based prediction of the heat conduction tensor	An open-source code providing a graphical user interface to predict the effective heat conductivity of microstructures and requires only the image data as input. The deployed methods are proposed and validated in the related paper, doi: 10.3390/mca24020057.	Theoretical Computer Science	Machine learning			url 200	ContactingProcess 7					python	SimTech EXC 2075		Data-Driven Microstructure Property Relations
https://purls.helmholtz-metadaten.de/msekg/17451592331718	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000222	Finite Element Analysis Program	A general purpose finite element analysis program which is designed for research and educational use.	Materials Microstructural	Finite Element Method	8.6	url 60		ContactingProcess 8	Propietary	Windows,Mac/Unix/Linux	url 320					
https://purls.helmholtz-metadaten.de/msekg/17451592331719	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	ParaView	ParaView is an open-source, multi-platform data analysis and visualization application based on Visualization Toolkit (VTK).	Software Engineering		5.10.1	url 61	url 201	ContactingProcess 9	OSI-approved BSD 3-clause License	Windows,Mac/Unix/Linux	url 321	VTK	C, C++, Fortran, python			
https://purls.helmholtz-metadaten.de/msekg/174515923317110	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	The Visualization Toolkit	The Visualization Toolkit (VTK) is open source software for manipulating and displaying scientific data. It comes with state-of-the-art tools for 3D rendering, a suite of widgets for 3D interaction, and extensive 2D plotting capability.	Computational Materials Science		9.2.0	url 62	url 202	ContactingProcess 10	BSD license			ParaView				Schroeder, Will; Martin, Ken; Lorensen, Bill (2006), The Visualization Toolkit (4th ed.), Kitware, ISBN 978-1-930934-19-1
https://purls.helmholtz-metadaten.de/msekg/174515923317111	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001048	pyXIT	Volume Reconstrution Software for X-ray computed tomography data: reconstruction of set of 2D Project collabrationions to a 3D volume based on mathematical algorithms	Computational Materials Science	X-ray imaging	1.1.5	url 63		ContactingProcess 11	BSD				python			
https://purls.helmholtz-metadaten.de/msekg/174515923317112	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000121	Avizo Software	image data processing, visualization and analysis especially for 3D data sets like X-ray tomography	Data Science		2019.3	url 64		ContactingProcess 12	Proprietary license							
https://purls.helmholtz-metadaten.de/msekg/174515923317113	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	Fiji	Fiji is an image processing package—a “batteries-included” distribution of ImageJ2, bundling a lot of plugins which facilitate scientific image analysis.	Data Science		2.5.0	url 65	url 203	ContactingProcess 13	GPLv3+		url 322	ImageJ, ImageJ2	Java, Shell, python, ruby, MATLAB			
https://purls.helmholtz-metadaten.de/msekg/174515923317114	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000140	ImageJ	ImageJ is Public domain software for processing and analyzing scientific images.	Materials Mechanical Behavior		1.53s	url 66	url 204	ContactingProcess 14	Public domain		url 322	Fiji, ImageJ2	Java			
https://purls.helmholtz-metadaten.de/msekg/174515923317115	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	ImageJ2	ImageJ2 is a new version of ImageJ for multidimensional image data, with a focus on scientific imaging. It includes some additional features not available in the original ImageJ.	Materials Thermodynamics		2.5.0	url 67	url 204	ContactingProcess 15	BSD-2		url 322	Fiji, ImageJ	Java, Perl, Shell			
https://purls.helmholtz-metadaten.de/msekg/174515923317116	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001048	Vienna Ab initio Simulation Package	The Vienna Ab initio Simulation Package (VASP) is a computer program for atomic scale materials modelling, e.g. electronic structure calculations and quantum-mechanical molecular dynamics, from first principles.	Materials Microstructural	Density functional theory	6.X	url 68		ContactingProcess 16	Propietary academic license		url 323		Fortran			[1] G. Kresse and J. Hafner, Phys. Rev. B 47 , 558 (1993); ibid. 49 , 14 251 (1994). [2] G. Kresse and J. FurthmÃ¼ller, Comput. Mat. Sci. 6 , 15 (1996). [3] G. Kresse and J. FurthmÃ¼ller, Phys. Rev. B 54 , 11 169 (1996).
https://purls.helmholtz-metadaten.de/msekg/174515923317117	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010040	CAmbridge Serial Total Energy Package	CASTEP is a full-featured materials modelling code based on a first-principles quantum mechanical description of electrons and nuclei. It uses the robust methods of a plane-wave basis set and psEuropedopotentials.	Artificial Intelligence	Density functional theory	21.1.1	url 69		ContactingProcess 17	Propietary academic license		url 324					First principles methods using CASTEP&quot;, Zeitschrift fuer Kristallographie 220(5-6) pp. 567-570 (2005) S. J. Clark, M. D. Segall, C. J. Pickard, P. J. Hasnip, M. J. Probert, K. Refson, M. C. Payne
https://purls.helmholtz-metadaten.de/msekg/174515923317118	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000140	Carr Parrinello Molecular Dynamics	The CPMD code is a parallelized plane wave / psEuropedopotential implementation of Density Functional Theory, particularly designed for ab-initio molecular dynamics.	Materials Characterization	Density functional theory		url 70		ContactingProcess 18	CPMD Free License for NPOs	Linux	url 325		Fortran			https://www.cpmd.org/wordpress/index.php/the-code/references/general-bibliographical-references/
https://purls.helmholtz-metadaten.de/msekg/174515923317119	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010040	ABINIT	ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT)	Materials Surface Science	Density functional theory	9.6	url 71	url 205	ContactingProcess 19	GNU General Public License		url 326		Fortran, python			The Abinit Project collabration: Impact, environment and recent developments Comput. Phys. Commun. 248, 107042 (2020) URL: https://doi.org/10.1016/j.cpc.2019.107042; ABINIT: Overview, and focus on selected capabilities J. Chem. Phys. 152, 124102 (2020)
https://purls.helmholtz-metadaten.de/msekg/174515923317120	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	BigDFT	A fast, precise, and flexible DFT code for ab-initio atomistic simulation	Materials Mechanical Behavior	Density functional theory	1.8.3	url 72	url 206	ContactingProcess 20	GNU General Public License			Nextmol, Aiida				DFTK: A Julian approach for simulating electrons in solids
https://purls.helmholtz-metadaten.de/msekg/174515923317121	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010039	Quantum Espresso	Quantum ESPRESSO Is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and psEuropedopotentials.	MaterialsDeformation Processes	Density functional theory	7.1	url 73	url 207	ContactingProcess 21	GNU General Public License	Linux,Mac OS X	url 327					P. Giannozzi, S. Baroni, N. Bonini, M. Calandra, R. Car, C. Cavazzoni, D. Ceresoli, G. L. Chiarotti, M. Cococcioni, I. Dabo, A. Dal Corso, S. Fabris, G. Fratesi, S. de Gironcoli, R. Gebauer, U. Gerstmann, C. Gougoussis, A. Kokalj, M. Lazzeri, L. Martin-Samos, N. Marzari, F. Mauri, R. Mazzarello, S. Paolini, A. Pasquarello, L. Paulatto, C. Sbraccia, S. Scandolo, G. Sclauzero, A. P. Seitsonen, A. Smogunov, P. Umari, R. M. Wentzcovitch, J.Phys.: Condens.Matter 21, 395502 (2009) and P. Giannozzi, O. AndrEuropessi, T. Brumme, O. Bunau, M. Buongiorno Nardelli, M. Calandra, R. Car, C. Cavazzoni, D. Ceresoli, M. Cococcioni, N. Colonna, I. Carnimeo, A. Dal Corso, S. de Gironcoli, P. Delugas, R. A. DiStasio Jr, A. Ferretti, A. Floris, G. Fratesi, G. Fugallo, R. Gebauer, U. Gerstmann, F. Giustino, T. Gorni, J Jia, M. Kawamura, H.-Y. Ko, A. Kokalj, E. Küçükbenli, M .Lazzeri, M. Marsili, N. Marzari, F. Mauri, N. L. Nguyen, H.-V. Nguyen, A. Otero-de-la-Roza, L. Paulatto, S. Poncé, D. Rocca, R. Sabatini, B. Santra, M. Schlipf, A. P. Seitsonen, A. Smogunov, I. Timrov, T. Thonhauser, P. Umari, N. Vast, X. Wu, S. Baroni, J.Phys.: Condens.Matter 29, 465901 (2017)
https://purls.helmholtz-metadaten.de/msekg/174515923317122	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000140	Parallel total energy	It is a parallel plane wave psEuropedopotential program for atomistic total energy calculation based on density functional theory. It is designed for large system simulations to be run on large parallel computers like IBM SP machines at NERSC, and linux cluster machines.	Materials Surface Science	Density functional theory	3	url 74		ContactingProcess 22	LBNL BSD							
https://purls.helmholtz-metadaten.de/msekg/174515923317123	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	JDTFx	JDFTx is a plane-wave density-functional theory (DFT) code designed to be as easy to develop with as it is easy to use.	Data Science	Density functional theory	1.7.0	url 75	url 208	ContactingProcess 23	GNU General Public License		url 328					R. Sundararaman, K. Letchworth-Weaver, K.A. Schwarz, D. Gunceler, Y. Ozhabes and T.A. Arias, 'JDFTx: software for joint density-functional theory', SoftwareX 6, 278 (2017)
https://purls.helmholtz-metadaten.de/msekg/174515923317124	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	PARSEC	PARSEC is a computer code that solves the Kohn-Sham equations by expressing electron wave-functions directly in real space, without the use of explicit basis sets. It uses norm-conserving psEuropedopotentials (Troullier-Martins and other varieties). It is designed for ab initio quantum-mechanical calculations of the electronic structure of matter, within density-functional theory.	MaterialsDeformation Processes	Density functional theory	1.4	url 76	url 209	ContactingProcess 24	GNU General Public License							J. R. Chelikowsky, N. Troullier, and Y. Saad, Finite-difference psEuropedo potential method: Electronic structure calculations without a basis, Phys. Rev. Lett. 72, 1240 (1994). J. R. Chelikowsky, The psEuropedopotential-density functional method applied to nanostructures, J. of Phys. D 33, R33 (2000). L. Kronik, A. Makmal, M.L. Tiago, M.M.G. Alemany, M. Jain, X. Huang, Y. Saad, and J.R. Chelikowsky, PARSEC-the psEuropedopotential algorithm for real-space electronic structure calculations: Recent Advances and novel applications to nano-structures, physica status solidi (b) 243, 1063 (2006). Y. Saad, J.R. Chelikowsky and S.M. Shontz, Numerical methods for electronic structure calculations of materials, SIAM Rev. 52, 3 (2010).
https://purls.helmholtz-metadaten.de/msekg/174515923317125	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045	CP2K	CP2K is a quantum chemistry and solid state physics software package that can perform atomistic simulations of solid state, liquid, molecular, periodic, material, crystal, and biological systems. CP2K provides a general framework for different modeling methods such as DFT using the mixed Gaussian and plane waves approaches GPW and GAPW. Supported theory levels include DFTB, LDA, GGA, MP2, RPA, semi-empirical methods (AM1, PM3, PM6, RM1, MNDO, …), and classical force fields (AMBER, CHARMM, …). CP2K can do simulations of molecular dynamics, metadynamics, Monte Carlo, Ehrenfest dynamics, vibrational analysis, core level spectroscopy, energy minimization, and transition state optimization using NEB or dimer method.	Materials Processing	Density functional theory, tight-binding, QM/MM, molecular dynamics, metadynamics, Monte Carlo, nudged elastic band, atomistic simulations	9.1	url 77	url 210	ContactingProcess 25	GNU General Public License		url 329		Fortran, python			
https://purls.helmholtz-metadaten.de/msekg/174515923317126	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	GPAW	GPAW is a density-functional theory (DFT) Python code based on the Project collabrationor-augmented wave (PAW) method and the atomic simulation environment (ASE).	Materials Surface Science	Density functional theory	22.1	url 78	url 211	ContactingProcess 26	GNU General Public License		url 330	ASE	python			J. J. Mortensen, L. B. Hansen, and K. W. Jacobsen Real-space grid implementation of the Project collabrationor augmented wave method Phys. Rev. B 71, 035109 (2005) J. Enkovaara, C. Rostgaard, J. J. Mortensen et al. Electronic structure calculations with GPAW: a real-space implementation of the Project collabrationor augmented-wave method J. Phys.: Condens. Matter 22, 253202 (2010)
https://purls.helmholtz-metadaten.de/msekg/174515923317127	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045	S/PHI/nX	S/PHI/nX is a C++ library for materials simulation, mostly electronic-structure theory. It also is a program (sphinx) to perform such simulations using density-functional theory, and k.p theory. In addition, the package offers dozens of specialized programs (add-ons) for smaller tasks related to setup, analysis, post-processing, and other types of simulations.	Computational Materials Science	Density functional theory	3.0.9	url 79	url 212	ContactingProcess 27	Apache license						Max Planck Institute for Iron Research	
https://purls.helmholtz-metadaten.de/msekg/174515923317128	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	Qbox First-Principles Molecular Dynamics	Qbox is a C++/MPI scalable parallel implementation of first-principles molecular dynamics (FPMD) based on the plane-wave, psEuropedopotential formalism. Qbox is designed for operation on large parallel computers.	Materials Processing	Density functional theory	1.74.4	url 80	url 213	ContactingProcess 28	GNU General Public License		url 331		C++			
https://purls.helmholtz-metadaten.de/msekg/174515923317129	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010040	DFTK.jl	The density-functional toolkit, DFTK for short, is a library of Julia routines for playing with plane-wave density-functional theory (DFT) algorithms. In its basic formulation it solves periodic Kohn-Sham equations. The unique feature of the code is its emphasis on simplicity and flexibility with the goal of facilitating methodological development and interdisciplinary collaboration.	Software Engineering	Density functional theory	0.5	url 81	url 214	ContactingProcess 29	MIT		url 81		Julia			DFTK: A Julian approach for simulating electrons in solids
https://purls.helmholtz-metadaten.de/msekg/174515923317130	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010040	density of Montréal	deMon (density of Montréal) is a software package for density functional theory (DFT) calculations. It uses the linear combination of Gaussian-type orbital (LCGTO) approach for the self-consistent solution of the Kohn-Sham (KS) DFT equations. The calculation of the four-center electron repulsion integrals is avoided by introducing an auxiliary function basis for the variational fitting of the Coulomb potential.	Materials Design	Density functional theory	5	url 82		ContactingProcess 30								
https://purls.helmholtz-metadaten.de/msekg/174515923317131	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	SIESTA	SIESTA is both a method and its computer program implementation, to perform efficient electronic structure calculations and ab initio molecular dynamics simulations of molecules and solids. SIESTA's efficiency stems from the use of a basis set of strictly-localized atomic orbitals. A very important feature of the code is that its accuracy and cost can be tuned in a wide range, from quick exploratory calculations to highly accurate simulations matching the quality of other approaches, such as plane-wave methods.	Data Science	Density functional theory	4	url 83	url 215	ContactingProcess 31	GNU General Public License		url 333					The SIESTA method for ab initio order-N materials simulation
https://purls.helmholtz-metadaten.de/msekg/174515923317132	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000222	CRYSTAL	The CRYSTAL package performs ab initio calculations of the ground state energy, energy gradient, electronic wave function and properties of periodic systems. Hartree-Fock or KohnSham Hamiltonians (that adopt an Exchange-Correlation potential following the postulates of Density-Functional Theory) can be used.	Materials Thermodynamics	Density functional theory	1.0.2	url 84		ContactingProcess 32	Academic and commercial license	Unix,Linux,Mac OS X,Windows						Quantum-mechanical condensed matter simulations with CRYSTAL
https://purls.helmholtz-metadaten.de/msekg/174515923317133	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045	FHI-AIMS	FHI-aims is an all-electron electronic structure code based on numeric atom-centered orbitals. It enables first-principles simulations with very high numerical accuracy for production calculations, with excellent scalability up to very large system sizes (thousands of atoms) and up to very large, massively parallel supercomputers (ten thousand CPU cores).	Materials Thermodynamics	Density functional theory		url 85		ContactingProcess 33	Academic and commercial license							
https://purls.helmholtz-metadaten.de/msekg/174515923317134	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001044	FPLO	The FPLO® package is a full-potential local-orbital code to solve the Kohn-Sham equations on a regular lattice or with free boundary conditions (finite systems). Relativistic effects are treated either in a scalar-relativistic or a full 4-component formalism. Available functionals are LSDA, GGA (PBE 96) and LSDA/GGA+U.	Data Driven Material Science	Density functional theory	22	url 86		ContactingProcess 34	https://www.fplo.de/wp-content/uploads/lic21.pdf							[1] K. Koepernik and H. Eschrig, Phys. Rev. B 59, 1743 (1999). [2] I. Opahle, K. Koepernik, and H. Eschrig, Phys. Rev. B 60, 14035 (1999). [3] H. Eschrig, M. Richter, I. Opahle, Relativistic Solid State Calculations, in: Relativistic Electronic Structure Theory, Part 2. Applications (P. Schwerdtfeger, ed.), Theoretical and Computational Chemistry, vol.13, Elsevier, 2004, pp.723–776. [4] H. Eschrig, K. Koepernik, and I. Chaplygin, J. Solid State Chemistry 176, 482 (2003). [5] Helmut. Eschrig: The Fundamentals of Density Functional Theory, 2nd Edition, Edition am Gutenbergplatz, Leipzig, 2003. [6] K. Lejaeghere et al., Science 351, 1415-U81 (2016).
https://purls.helmholtz-metadaten.de/msekg/174515923317135	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	Open source package for Material eXplorer	OpenMX (Open source package for Material eXplorer) is a software package for nano-scale material simulations based on density functional theories (DFT), norm-conserving psEuropedopotentials, and psEuropedo-atomic localized basis functions . The methods and algorithms used in OpenMX and their implementation are carefully designed for the realization of large-scale ab initio electronic structure calculations on parallel computers based on the MPI or MPI/OpenMP hybrid parallelism.	Materials Mechanical Behavior	Density functional theory	3.9.9	url 87		ContactingProcess 35	GNU General Public License v3		url 334					
https://purls.helmholtz-metadaten.de/msekg/174515923317136	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	Elk	An all-electron full-potential linearised augmented-plane wave (LAPW) code with many advanced features. Written originally at Karl-Franzens-Universität Graz as a milestone of the EXCITING Europe Research and Training Service Network, the code is designed to be as simple as possible so that new developments in the field of density functional theory (DFT) can be added quickly and reliably.	Materials Processing	Density functional theory	8.5.2	url 88		ContactingProcess 36	GNU General Public License		url 335					
https://purls.helmholtz-metadaten.de/msekg/174515923317137	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001044	exciting	exciting is a full-potential all-electron density-functional-theory package implementing the families of linearized augmented planewave methods. It can be applied to all kinds of materials, irrespective of the atomic species involved, and also allows for exploring the physics of core electrons. A particular focus are excited states within many-body perturbation theory.	Theoretical Computer Science	Density functional theory	oxygen	url 89	url 216	ContactingProcess 37	GNU Lesser General Public License	Linux/Unix	url 336			NOMAD	Humboldt-Universität zu Berlin	
https://purls.helmholtz-metadaten.de/msekg/174515923317138	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001046	FLEuropeR	FLEuropeR is a feature-full, freely available FLAPW (full-potential linearized augmented planewave) code, based on density-functional theory.	MaterialsDeformation Processes	Density functional theory	MaX-6.0	url 90	url 217	ContactingProcess 38	MIT		url 337		Fortran, C, python			
https://purls.helmholtz-metadaten.de/msekg/174515923317139	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000218	WIEN2k	The program package WIEN2k allows to perform electronic structure calculations of solids using density functional theory (DFT). It is based on the full-potential (linearized) augmented plane-wave ((L)APW) + local orbitals (lo) method, one among the most accurate schemes for band structure calculations. WIEN2k is an all-electron scheme including relativistic effects and has many features.	Computational Materials Science	Density functional theory	21.1	url 91		ContactingProcess 39	Academic and commercial license		url 338			NOMAD		
https://purls.helmholtz-metadaten.de/msekg/174515923317140	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001049	Large-scale Atomic/Molecular Massively Parallel Simulator	classical molecular dynamics code with a focus on materials modeling	Materials Microstructural	molecular dynamics, atomistic simulations	44735	url 92	url 218	ContactingProcess 40	GNU General Public License v2		url 339		C++,Fortran			Quantum-mechanical condensed matter simulations with CRYSTAL
https://purls.helmholtz-metadaten.de/msekg/174515923317141	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045	The ITAP Molecular Dynamics Program	IMD is a software package for classical molecular dynamics simulations. Several types of interactions are supported, such as central pair potentials, EAM potentials for metals, Stillinger-Weber and Tersoff potentials for covalent systems, and Gay-Berne potentials for liquid crystals.	Theoretical Computer Science	molecular dynamics, atomistic simulations		url 93	url 219	ContactingProcess 41	GNU General Public License v3		url 340		C, C++	SFB 716		J. Roth, F. Gähler, and H.-R. Trebin, A molecular dynamics run with 5.180.116.000 particles, Int. J. Mod. Phys. C 11, 317-22 (2000). PDF-File (184k)  J. Stadler, R. Mikulla, and H.-R. Trebin, IMD: A Software Package for Molecular Dynamics Studies on Parallel Computers, Int. J. Mod. Phys. C 8, 1131-1140 (1997). gzipped PostScript (690k)  PDF-File (325k)  J. Roth IMD: A Typical Massively Parallel Molecular Dynamics Code for Classical Simulations - Structure, Applications, Latest Developments Sustained Simulation Performance 2013, eds. M. M. Resch, W. Bez, E. Forcht, H. Kobayashi, Y. Kovalenko, Springer, Heidelberg 2013, pp. 63-76.
https://purls.helmholtz-metadaten.de/msekg/174515923317142	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041	GROMACS	molecular dynamics with a focus on simulations of proteins, lipids, and nucleic acids	Materials Characterization	molecular dynamics, atomistic simulations	2022	url 94	url 220	ContactingProcess 42	GNU Lesser General Public License		url 341					* GROMACS: A message-passing parallel molecular dynamics implementation   H.J.C. Berendsen, D. van der Spoel and R. van Drunen   Comp. Phys. Comm. 91, 43-56 (1995)   DOI: https://doi.org/10.1016/0010-4655(95)00042-E   * GROMACS 4: Algorithms for highly efficient, load-balanced, and scalable   molecular simulation   B. Hess and C. Kutzner and D. van der Spoel and E. Lindahl   J. Chem. Theory Comput. 4 (2008) pp. 435-447   DOI: https://doi.org/10.1021/ct700301q  * GROMACS 4.5: a high-throughput and highly parallel open source   molecular simulation toolkit   Sander Pronk, Szilárd Páll, Roland Schulz, Per Larsson, Pär Bjelkmar,   Rossen Apostolov, Michael R. Shirts, Jeremy C. Smith, Peter M. Kasson,   David van der Spoel, Berk Hess, Erik Lindahl.   Bioinformatics 29 (2013) pp. 845-54   DOI: https://doi.org/10.1093/bioinformatics/btt055  * Tackling Exascale Software Challenges in Molecular Dynamics Simulations   with GROMACS   Szilárd Páll, Mark J. Abraham, Carsten Kutzner, Berk Hess, Erik Lindahl   In S. Markidis & E. Laure (Eds.), Solving Software Challenges for Exascale,   Lecture Notes for Computer Science, 8759 (2015) pp. 3–27   DOI: https://doi.org/10.1007/978-3-319-15976-8_1  * GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers   M. J. Abraham, T. Murtola, R. Schulz, S. Páll, J. C. Smith, B. Hess, E. Lindahl,   SoftwareX, 1, (2015), 19-25   DOI: https://doi.org/10.1016/j.softx.2015.06.001
https://purls.helmholtz-metadaten.de/msekg/174515923317143	https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045	MD++	MD++ is a molecular dynamics simulation package written in C++.	Materials Surface Science	molecular dynamics, atomistic simulations		url 95		ContactingProcess 43					C++			
